userId,movieId,rating,timestamp
210,47610,4.5,1480622934
210,62834,4.0,1480713045
210,62836,4.0,1480713081
125,164179,3.5,1480789721
125,161131,3.5,1480789738
125,137857,3.5,1480789748
125,135143,3.5,1480789755
125,122922,4.0,1480789759
125,139855,3.5,1480790078
125,160567,3.5,1480790359
210,31696,3.0,1480802203
448,152658,1.5,1480865867
448,157130,2.0,1481041186
448,155358,2.0,1481050984
448,136778,2.0,1481130179
448,145839,2.5,1481141173
249,162478,3.5,1481154112
448,154065,2.0,1481226272
448,152105,4.5,1481226280
318,165969,4.5,1481320859
318,108729,4.0,1481321453
125,166492,2.5,1481374463
125,152970,4.0,1481392558
125,152083,4.0,1481392782
125,122890,3.5,1481392791
125,161580,3.5,1481393033
448,3498,4.0,1481397441
583,39,5.0,1481474136
583,356,4.0,1481474148
583,71535,3.0,1481474152
583,69122,3.0,1481474158
583,296,4.0,1481474161
583,4306,3.0,1481474165
583,80549,4.0,1481474170
583,6942,3.5,1481474175
583,35836,3.0,1481474177
583,46578,3.0,1481474181
583,64969,3.0,1481474183
583,76093,4.0,1481474186
583,4016,4.0,1481474190
583,60756,3.0,1481474191
583,96588,4.0,1481474203
583,88405,3.0,1481474223
583,1732,3.5,1481474236
583,2706,3.0,1481474247
583,588,3.5,1481474263
583,63131,2.5,1481474271
583,99007,3.0,1481474276
583,7293,4.0,1481474280
583,31685,2.0,1481474290
583,99117,2.0,1481474293
583,117590,2.5,1481474297
583,5620,4.0,1481474304
583,71520,0.5,1481474325
583,317,4.0,1481474333
583,1777,3.5,1481474338
583,216,4.0,1481474353
583,239,4.5,1481474354
583,149354,4.0,1481474358
583,2694,3.5,1481474367
583,593,2.5,1481474404
583,2572,5.0,1481474408
583,1380,3.0,1481474416
583,106696,3.0,1481474420
583,595,4.0,1481474427
583,594,2.0,1481474431
583,8533,2.0,1481474433
583,2485,2.0,1481474436
583,104,3.0,1481474437
583,2687,3.0,1481474453
583,7451,3.0,1481474457
583,1088,3.5,1481474480
583,3882,3.5,1481474504
583,6188,3.0,1481474507
583,1688,3.0,1481474511
583,3988,4.0,1481474513
583,44193,3.5,1481474534
583,2541,3.5,1481474537
583,1907,4.0,1481474543
583,6619,3.0,1481474550
583,2059,2.5,1481474552
583,1721,4.0,1481474572
583,133419,4.0,1481474578
125,161966,4.0,1481486017
318,7123,2.5,1481614323
318,143859,4.0,1481614728
285,109374,4.0,1481688143
564,115617,1.0,1481817394
564,111659,1.0,1481817397
564,1682,1.0,1481817399
564,140110,3.5,1481817415
564,79224,2.0,1481817422
564,65230,4.0,1481817439
564,58803,3.5,1481817469
564,8528,4.0,1481817566
564,5377,4.0,1481817601
564,80860,3.0,1481817613
564,4246,3.5,1481817623
564,69278,4.5,1481817625
564,70641,4.5,1481817648
564,88812,3.5,1481817663
564,73266,4.0,1481817666
564,140711,4.0,1481817674
564,7451,5.0,1481817677
564,103883,4.5,1481817687
564,158238,3.5,1481817691
564,117590,5.0,1481817706
564,119141,4.5,1481817709
564,79428,3.5,1481817711
564,88785,4.0,1481817713
564,67734,5.0,1481817716
564,58655,5.0,1481817767
564,96110,4.5,1481817831
564,131013,4.0,1481817852
564,128520,5.0,1481817955
339,454,4.5,1481945279
339,128360,4.5,1481945332
339,157699,3.5,1481945488
448,142424,2.0,1482009512
448,133195,1.5,1482072450
448,139385,3.5,1482166656
18,162350,3.5,1482346781
18,55290,4.5,1482355905
148,160718,4.5,1482548446
148,152081,4.0,1482548452
148,79132,1.5,1482548463
148,356,4.0,1482548476
148,1197,3.0,1482548478
148,68954,4.0,1482548482
148,60069,4.5,1482548484
148,115617,3.5,1482548495
148,81834,4.0,1482548498
148,69844,4.0,1482548500
148,50872,3.0,1482548504
148,4886,3.0,1482548505
148,40815,4.0,1482548512
148,6377,3.0,1482548514
148,134853,4.0,1482548516
148,69757,3.5,1482548519
148,72998,4.0,1482548525
148,122882,4.0,1482548529
148,30816,5.0,1482548570
148,40629,5.0,1482548578
148,4308,4.0,1482548613
148,99149,3.0,1482548617
148,98491,5.0,1482548665
148,110102,4.0,1482548669
148,157296,3.0,1482548671
148,88125,4.0,1482548673
148,54001,4.0,1482548674
148,8368,4.0,1482548676
148,5618,3.0,1482548682
148,31658,4.0,1482548683
148,122886,3.5,1482548686
148,112852,3.5,1482548700
148,76093,3.0,1482548702
148,122920,3.5,1482548707
148,89745,4.0,1482548710
148,79091,3.5,1482548714
148,4896,4.0,1482548717
148,108932,4.0,1482548720
148,112175,2.5,1482548721
148,79702,4.0,1482548751
148,5816,4.0,1482548755
148,5952,3.0,1482548769
148,7153,3.0,1482548769
148,4993,3.0,1482548771
148,98243,4.5,1482548883
148,81847,4.5,1482549236
148,116797,4.5,1482550073
148,44191,4.0,1482550089
448,140525,1.5,1482590020
448,160730,2.0,1482590532
318,152065,3.5,1482683226
318,155774,3.5,1482750332
318,7228,3.0,1482750513
318,1024,4.0,1482750515
285,4091,3.0,1482942247
285,1968,5.0,1482942272
448,130576,3.0,1482948824
448,148888,2.0,1482955460
285,1285,2.5,1483031785
448,143859,3.0,1483041516
318,5838,4.0,1483184570
318,104243,3.0,1483185582
318,102125,3.0,1483185781
292,130576,2.0,1483193614
292,166528,4.0,1483193709
292,119145,4.0,1483193792
292,122900,4.0,1483193822
292,115617,4.0,1483193825
292,1278,4.0,1483193837
292,102407,2.0,1483193854
292,102903,4.0,1483193860
292,64614,2.0,1483193865
292,2291,2.5,1483193888
292,70286,2.0,1483193915
292,1573,2.0,1483193952
292,2302,4.0,1483193953
292,440,3.5,1483193969
292,103335,3.5,1483193986
292,56775,4.0,1483194003
448,27685,1.5,1483206730
448,144716,2.0,1483221422
